Date,MSFT,AAPL,AMZN,JPM,GOOG,GOOGL,XOM
2005-03-31,-10.0,32.0,-23.0,-12.0,-11.0,-11.0,19.0
2005-04-01,-10.0,28.0,-19.0,-11.0,-7.0,-7.0,22.0
2005-04-04,-10.0,27.0,-16.0,-12.0,-4.0,-4.0,23.0
2005-04-05,-9.0,30.0,-14.0,-11.0,0.0,0.0,20.0
2005-04-06,-7.0,22.0,-18.0,-10.0,-2.0,-2.0,22.0
2005-04-07,-6.0,26.0,-17.0,-9.0,-1.0,-1.0,22.0
2005-04-08,-7.0,36.0,-17.0,-9.0,-1.0,-1.0,20.0
2005-04-11,-7.0,28.0,-18.0,-9.0,-1.0,-1.0,19.0
2005-04-12,-4.0,22.0,-19.0,-7.0,-1.0,-1.0,20.0
2005-04-13,-4.0,17.0,-23.0,-9.0,-4.0,-4.0,16.0
2005-04-14,-6.0,5.0,-24.0,-11.0,-6.0,-6.0,14.0
2005-04-15,-6.0,1.0,-25.0,-10.0,-6.0,-6.0,10.0
2005-04-18,-5.0,1.0,-22.0,-7.0,-4.0,-4.0,13.0
2005-04-19,-4.0,5.0,-20.0,-5.0,2.0,2.0,16.0
2005-04-20,-5.0,0.0,-18.0,-6.0,10.0,10.0,12.0
2005-04-21,-3.0,3.0,-18.0,-5.0,15.0,15.0,15.0
2005-04-22,-4.0,-2.0,-20.0,-5.0,14.0,14.0,15.0
2005-04-25,-4.0,2.0,-21.0,-4.0,19.0,19.0,16.0
2005-04-26,-5.0,-2.0,-23.0,-5.0,15.0,15.0,16.0
2005-04-27,-5.0,-7.0,-27.0,-5.0,12.0,12.0,13.0
2005-04-28,-7.0,-8.0,-23.0,-7.0,14.0,14.0,5.0
2005-04-29,-4.0,-9.0,-23.0,-5.0,7.0,7.0,6.0
2005-05-02,-4.0,-6.0,-7.0,-5.0,5.0,5.0,6.0
2005-05-03,-4.0,-8.0,-7.0,-6.0,11.0,11.0,2.0
2005-05-04,-4.0,-6.0,-5.0,-5.0,17.0,17.0,3.0
2005-05-05,-4.0,-9.0,-6.0,-5.0,14.0,14.0,4.0
2005-05-06,-3.0,-5.0,-4.0,-5.0,19.0,19.0,4.0
2005-05-09,-4.0,-6.0,-3.0,-4.0,20.0,20.0,3.0
2005-05-10,-4.0,-10.0,-4.0,-6.0,22.0,22.0,2.0
2005-05-11,-4.0,-16.0,-6.0,-6.0,20.0,20.0,1.0
2005-05-12,-4.0,-23.0,-6.0,-7.0,17.0,17.0,-4.0
2005-05-13,-2.0,-23.0,-5.0,-8.0,16.0,16.0,-8.0
2005-05-16,-1.0,-19.0,-3.0,-6.0,17.0,17.0,-8.0
2005-05-17,-0.0,-19.0,-2.0,-4.0,18.0,18.0,-9.0
2005-05-18,2.0,-16.0,2.0,0.0,25.0,25.0,-8.0
2005-05-19,3.0,-15.0,4.0,-1.0,23.0,23.0,-8.0
2005-05-20,1.0,-16.0,2.0,-2.0,28.0,28.0,-12.0
2005-05-23,2.0,-11.0,2.0,-3.0,37.0,37.0,-13.0
2005-05-24,2.0,-12.0,1.0,-2.0,36.0,36.0,-13.0
2005-05-25,2.0,-11.0,-0.0,-3.0,40.0,40.0,-10.0
2005-05-26,3.0,-8.0,-0.0,-3.0,40.0,40.0,-10.0
